login,type,key,timestamp,input,keypressDuration,keyDownTimestamp,keyUpTimestamp
test,keydown,t,1555170855627,hat_area,71,1555170855627,1555170855698
test,keydown,h,1555170855827,hat_area,80,1555170855827,1555170855907
test,keydown,e,1555170856020,hat_area,79,1555170856020,1555170856099
test,keydown,y,1555170856187,hat_area,72,1555170856187,1555170856259
test,keydown, ,1555170856683,hat_area,112,1555170856683,1555170856795
test,keydown,c,1555170856867,hat_area,96,1555170856867,1555170856963
test,keydown,a,1555170857123,hat_area,80,1555170857123,1555170857203
test,keydown,n,1555170857259,hat_area,80,1555170857259,1555170857339
test,keydown, ,1555170857491,hat_area,112,1555170857491,1555170857603
test,keydown,a,1555170857923,hat_area,88,1555170857923,1555170858011
test,keydown,s,1555170858131,hat_area,80,1555170858131,1555170858211
test,keydown,k,1555170858595,hat_area,64,1555170858595,1555170858659
test,keydown, ,1555170858875,hat_area,96,1555170858875,1555170858971
test,keydown,m,1555170859732,hat_area,87,1555170859732,1555170859819
test,keydown,e,1555170859858,hat_area,89,1555170859858,1555170859947
test,keydown, ,1555170860083,hat_area,73,1555170860083,1555170860156
test,keydown,t,1555170860307,hat_area,80,1555170860307,1555170860387
test,keydown,o,1555170860459,hat_area,72,1555170860459,1555170860531
test,keydown, ,1555170860515,hat_area,56,1555170860515,1555170860571
test,keydown, ,1555170860676,hat_area,63,1555170860676,1555170860739
test,keydown,g,1555170860851,hat_area,64,1555170860851,1555170860915
test,keydown,e,1555170860963,hat_area,80,1555170860963,1555170861043
test,keydown,t,1555170861083,hat_area,72,1555170861083,1555170861155
test,keydown, ,1555170861183,hat_area,61,1555170861183,1555170861244
test,keydown, ,1555170861316,hat_area,63,1555170861316,1555170861379
test,keydown,j,1555170861507,hat_area,72,1555170861507,1555170861579
test,keydown,u,1555170861731,hat_area,80,1555170861731,1555170861811
test,keydown,s,1555170861893,hat_area,94,1555170861893,1555170861987
test,keydown,t,1555170862075,hat_area,80,1555170862075,1555170862155
test,keydown, ,1555170862187,hat_area,48,1555170862187,1555170862235
test,keydown, ,1555170862331,hat_area,64,1555170862331,1555170862395
test,keydown,a,1555170863019,hat_area,80,1555170863019,1555170863099
test,keydown,b,1555170863156,hat_area,63,1555170863156,1555170863219
test,keydown,o,1555170863411,hat_area,80,1555170863411,1555170863491
test,keydown,u,1555170863603,hat_area,80,1555170863603,1555170863683
test,keydown,t,1555170863755,hat_area,88,1555170863755,1555170863843
test,keydown, ,1555170863875,hat_area,64,1555170863875,1555170863939
test,keydown, ,1555170863995,hat_area,72,1555170863995,1555170864067
test,keydown,a,1555170864235,hat_area,112,1555170864235,1555170864347
test,keydown,n,1555170864403,hat_area,88,1555170864403,1555170864491
test,keydown,y,1555170864612,hat_area,71,1555170864612,1555170864683
test,keydown, ,1555170864779,hat_area,128,1555170864779,1555170864907
test,keydown,h,1555170865156,hat_area,79,1555170865156,1555170865235
test,keydown,a,1555170865315,hat_area,128,1555170865315,1555170865443
test,keydown,t,1555170865468,hat_area,71,1555170865468,1555170865539
test,keydown, ,1555170865651,hat_area,128,1555170865651,1555170865779
test,keydown,t,1555170866075,hat_area,97,1555170866075,1555170866172
test,keydown,h,1555170866246,hat_area,69,1555170866246,1555170866315
test,keydown,e,1555170866708,hat_area,71,1555170866708,1555170866779
test,keydown,y,1555170866851,hat_area,72,1555170866851,1555170866923
test,keydown, ,1555170866955,hat_area,112,1555170866955,1555170867067
test,keydown,l,1555170867251,hat_area,88,1555170867251,1555170867339
test,keydown,i,1555170867451,hat_area,80,1555170867451,1555170867531
test,keydown,k,1555170867611,hat_area,72,1555170867611,1555170867683
test,keydown,e,1555170867707,hat_area,88,1555170867707,1555170867795
test,keydown,s,1555170874651,pig_area,136,1555170874651,1555170874787
test,keydown,h,1555170874843,pig_area,72,1555170874843,1555170874915
test,keydown,e,1555170874995,pig_area,88,1555170874995,1555170875083
test,keydown, ,1555170875283,pig_area,104,1555170875283,1555170875387
test,keydown,c,1555170875948,pig_area,71,1555170875948,1555170876019
test,keydown,o,1555170876075,pig_area,72,1555170876075,1555170876147
test,keydown,u,1555170876259,pig_area,72,1555170876259,1555170876331
test,keydown,l,1555170876451,pig_area,88,1555170876451,1555170876539
test,keydown,d,1555170876603,pig_area,104,1555170876603,1555170876707
test,keydown, ,1555170877035,pig_area,120,1555170877035,1555170877155
test,keydown,r,1555170877315,pig_area,88,1555170877315,1555170877403
test,keydown,i,1555170877483,pig_area,88,1555170877483,1555170877571
test,keydown,d,1555170877643,pig_area,104,1555170877643,1555170877747
test,keydown,e,1555170877844,pig_area,111,1555170877844,1555170877955
test,keydown, ,1555170877979,pig_area,122,1555170877979,1555170878101
test,keydown,a,1555170878483,pig_area,88,1555170878483,1555170878571
test,keydown,r,1555170878899,pig_area,72,1555170878899,1555170878971
test,keydown,o,1555170879091,pig_area,80,1555170879091,1555170879171
test,keydown,u,1555170879299,pig_area,64,1555170879299,1555170879363
test,keydown,n,1555170879475,pig_area,80,1555170879475,1555170879555
test,keydown,d,1555170879748,pig_area,112,1555170879748,1555170879860
test,keydown, ,1555170880027,pig_area,96,1555170880027,1555170880123
test,keydown,t,1555170880283,pig_area,88,1555170880283,1555170880371
test,keydown,h,1555170880427,pig_area,80,1555170880427,1555170880507
test,keydown,e,1555170880548,pig_area,87,1555170880548,1555170880635
test,keydown, ,1555170880691,pig_area,40,1555170880691,1555170880731
test,keydown, ,1555170880771,pig_area,80,1555170880771,1555170880851
test,keydown,a,1555170880995,pig_area,112,1555170880995,1555170881107
test,keydown,h,1555170881147,pig_area,64,1555170881147,1555170881211
test,keydown,h,1555170883948,pig_area,63,1555170883948,1555170884011
test,keydown,a,1555170884107,pig_area,80,1555170884107,1555170884187
test,keydown,l,1555170884323,pig_area,56,1555170884323,1555170884379
test,keydown,l,1555170884475,pig_area,80,1555170884475,1555170884555
test,keydown, ,1555170885035,pig_area,144,1555170885035,1555170885179
test,keydown,o,1555170885411,pig_area,73,1555170885411,1555170885484
test,keydown,n,1555170885603,pig_area,64,1555170885603,1555170885667
test,keydown, ,1555170885763,pig_area,72,1555170885763,1555170885835
test,keydown,h,1555170885972,pig_area,55,1555170885972,1555170886027
test,keydown,e,1555170886091,pig_area,96,1555170886091,1555170886187
test,keydown,r,1555170886315,pig_area,112,1555170886315,1555170886427
test,keydown, ,1555170886451,pig_area,96,1555170886451,1555170886547
test,keydown,l,1555170887283,pig_area,80,1555170887283,1555170887363
test,keydown,i,1555170887507,pig_area,72,1555170887507,1555170887579
test,keydown,t,1555170887731,pig_area,48,1555170887731,1555170887779
test,keydown,t,1555170887875,pig_area,80,1555170887875,1555170887955
test,keydown,l,1555170888019,pig_area,88,1555170888019,1555170888107
test,keydown,e,1555170888163,pig_area,80,1555170888163,1555170888243
test,keydown, ,1555170888531,pig_area,128,1555170888531,1555170888659
test,keydown,p,1555170888755,pig_area,80,1555170888755,1555170888835
test,keydown,e,1555170888923,pig_area,88,1555170888923,1555170889011
test,keydown,t,1555170889227,pig_area,72,1555170889227,1555170889299
test,keydown, ,1555170889267,pig_area,96,1555170889267,1555170889363
test,keydown, ,1555170889419,pig_area,72,1555170889419,1555170889491
test,keydown,p,1555170889635,pig_area,64,1555170889635,1555170889699
test,keydown,i,1555170889803,pig_area,88,1555170889803,1555170889891
test,keydown,g,1555170889987,pig_area,88,1555170889987,1555170890075
